y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
1.3976716508,18.8547158089,0.0888637011,2.1251821410,3.5506203157,0.0666666667,0.0066709784,0.3443886576,0.0987374457,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4190031431,18.7370428254,0.0885739549,2.2116931388,3.8016084691,0.0666666667,0.0066314757,0.3405712828,0.0984155055,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4398961503,18.6166236502,0.0880999156,2.2985769098,4.0652773887,0.0666666667,0.0065927849,0.3368171018,0.0978887952,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4603385019,18.4935642401,0.0874452695,2.3857200845,4.3421403224,0.0666666667,0.0065549287,0.3331215787,0.0971614105,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4803196588,18.3679567037,0.0866151731,2.4730215764,4.6327620012,0.0666666667,0.0065179266,0.3294803205,0.0962390812,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.4998306895,18.2398802258,0.0856160682,2.5603902254,4.9377575689,0.0666666667,0.0064817950,0.3258890768,0.0951289646,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5188642358,18.1094018696,0.0844555034,2.6477426345,5.2577917776,0.0666666667,0.0064465477,0.3223437366,0.0938394482,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5374144706,17.9765772659,0.0831419649,2.7350011748,5.5935784174,0.0666666667,0.0064121954,0.3188403220,0.0923799610,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5554770473,17.8414511995,0.0816847149,2.8220921317,5.9458799438,0.0666666667,0.0063787462,0.3153749793,0.0907607943,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5730490431,17.7040581011,0.0800936391,2.9089439675,6.3155072621,0.0666666667,0.0063462055,0.3119439700,0.0889929324,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.5901288961,17.5644224532,0.0783791030,2.9954856763,6.7033196301,0.0666666667,0.0063145761,0.3085436591,0.0870878922,0.0010000000,0.1000000000,1.0000000000,0.0000000000
